"taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Alnus glutinosa (L.) Gaertn.",99.4,2,92.7,92.3
"Carex pendula Huds.",99.4,2,92.7,92.3
"Carex remota L.",99.4,2,92.7,92.3
"Fraxinus angustifolia Vahl subsp. oxycarpa (Willd.) Franco & Rocha Afonso",99.4,2,92.7,92.3
"Limniris pseudacorus (L.) Fuss",99.4,2,92.7,92.3
"Quercus robur L. subsp. robur",99.4,2,92.7,92.3
"Rubus ulmifolius Schott",99.4,2,92.7,92.3
"Rumex sanguineus L.",99.4,2,92.7,92.3
"Ulmus minor Mill. subsp. minor",99.4,2,92.7,92.3
"Iris florentina L.",99.3,1,99.3,99.3
"Plantago major L.",98.9,2,92.7,84.9
"Aphanes australis Rydb.",98.9,1,98.9,98.9
"Paronychia echinulata Chater",98.9,1,98.9,98.9
"Setaria parviflora (Poir.) Kergu<e9>len",98.7,1,98.7,98.7
"Equisetum arvense L.",97.9,2,86.7,84.1
"Pteridium aquilinum (L.) Kuhn subsp. aquilinum",97.9,2,86.7,84.1
"Cenchrus incertus M.A.Curtis",97.8,2,85.6,84.9
"Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase",96.4,3,73.5,54.1
"Agrostis stolonifera L. subsp. stolonifera",92.7,1,92.7,92.7
"Aristolochia rotunda L. subsp. rotunda",92.7,1,92.7,92.7
"Carex sylvatica Huds. subsp. sylvatica",92.7,1,92.7,92.7
"Cornus sanguinea L. subsp. hungarica (K<e1>rp<e1>ti) So<f3>",92.7,1,92.7,92.7
"Erigeron canadensis L.",92.7,1,92.7,92.7
"Ficus carica L.",92.7,1,92.7,92.7
"Galium palustre L. subsp. palustre",92.7,1,92.7,92.7
"Hydrocotyle vulgaris L.",92.7,1,92.7,92.7
"Hypericum tetrapterum Fr.",92.7,1,92.7,92.7
"Lysimachia arvensis (L.) U.Manns & Anderb. subsp. arvensis",92.7,1,92.7,92.7
"Lythrum salicaria L.",92.7,1,92.7,92.7
"Mentha aquatica L. subsp. aquatica",92.7,1,92.7,92.7
"Poa trivialis L.",92.7,1,92.7,92.7
"Potentilla reptans L.",92.7,1,92.7,92.7
"Prunus spinosa L. subsp. spinosa",92.7,1,92.7,92.7
"Rhamnus cathartica L.",92.7,1,92.7,92.7
"Samolus valerandi L.",92.7,1,92.7,92.7
"Euonymus europaeus L.",92.3,1,92.3,92.3
"Leucojum aestivum L. subsp. aestivum",92.3,1,92.3,92.3
"Moehringia trinervia (L.) Clairv.",92.3,1,92.3,92.3
"Scrophularia nodosa L.",92.3,1,92.3,92.3
"Veronica montana L.",92.3,1,92.3,92.3
"Viola reichenbachiana Jord. ex Boreau",92.3,1,92.3,92.3
"Paspalum vaginatum Sw.",91.8,1,91.8,91.8
"Sporobolus pumilus (Roth) P.M.Peterson & Saarela",91.8,1,91.8,91.8
"Amorpha fruticosa L.",87.7,1,87.7,87.7
"Bidens frondosa L.",87.7,1,87.7,87.7
"Paspalum dilatatum Poir.",87.5,1,87.5,87.5
"Artemisia verlotiorum Lamotte",87.3,2,71,56.1
"Azolla filiculoides Lam.",86.9,1,86.9,86.9
"Holcus lanatus L. subsp. lanatus",86.9,1,86.9,86.9
"Phalaroides arundinacea (L.) Rauschert subsp. arundinacea",86.9,1,86.9,86.9
"Phragmites australis (Cav.) Trin. ex Steud. subsp. australis",86.9,1,86.9,86.9
"Thelypteris palustris Schott",86.7,1,86.7,86.7
"Ambrosia psilostachya DC.",84.9,1,84.9,84.9
"Dittrichia viscosa (L.) Greuter subsp. viscosa",84.9,1,84.9,84.9
"Xanthium italicum Moretti",84.9,1,84.9,84.9
"Orobanche litorea Guss.",84.5,1,84.5,84.5
"Onobrychis caput-galli (L.) Lam.",84.3,1,84.3,84.3
"Equisetum hyemale L.",84.1,1,84.1,84.1
"Verbascum phoeniceum L.",77.9,1,77.9,77.9
"Adonis annua L.",70.8,1,70.8,70.8
"Trifolium michelianum Savi",70,1,70,70
"Epipactis palustris (L.) Crantz",54.5,1,54.5,54.5
"Medicago marina L.",51.6,1,51.6,51.6
