"Taxon","Long","Lat","uncertainty","year"
"Periploca graeca L.",10.360987,43.490844,300,2017
"Hermodactylus tuberosus (L.) Mill.",11.319456,43.340942,300,1858
"Schoenus nigricans L.",11.620546,43.031008,300,1860
"Hermodactylus tuberosus (L.) Mill.",11.040726,43.470033,300,1898
"Lepidium draba L. subsp. draba",11.438452,43.355791,300,1981
"Lepidium draba L. subsp. draba",11.430154,43.327691,300,1986
"Lepidium draba L. subsp. draba",11.269834,43.519416,300,1990
"Chelidonium majus L.",11.64991,42.8842,300,1994
"Cerastium holosteoides Fr.",11.63828,42.90324,300,1994
"Abies alba Mill.",11.64083,42.93104,300,1994
"Aristolochia lutea Desf.",11.57584,42.86769,300,1994
"Aristolochia lutea Desf.",11.57606,42.88573,300,1994
"Anemonoides nemorosa (L.) Holub",11.63828,42.90324,300,1994
"Asarum europaeum L.",11.65038,42.90231,300,1994
"Anemonoides ranunculoides (L.) Holub",11.63828,42.90324,300,1994
"Anemonoides ranunculoides (L.) Holub",11.65038,42.90231,300,1994
"Actaea spicata L.",11.6391,42.91984,300,1994
"Aristolochia lutea Desf.",11.6391,42.91984,300,1994
"Aristolochia lutea Desf.",11.6391,42.91984,300,1994
"Aristolochia lutea Desf.",11.65027,42.89279,300,1994
"Anemonoides nemorosa (L.) Holub",11.57606,42.88573,300,1994
"Anemonoides nemorosa (L.) Holub",11.64083,42.93104,300,1994
"Anemonoides nemorosa (L.) Holub",11.6391,42.91984,300,1994
"Anemonoides nemorosa (L.) Holub",11.65038,42.90231,300,1994
"Carpinus betulus L.",11.6391,42.91984,300,1994
"Castanea sativa Mill.",11.55174,42.89486,300,1994
"Arenaria serpyllifolia L. subsp. serpyllifolia",11.55174,42.89486,300,1994
"Cerastium arvense L. subsp. arvense",11.56477,42.8594,300,1994
"Cerastium holosteoides Fr.",11.56477,42.8594,300,1994
"Cerastium holosteoides Fr.",11.65038,42.90231,300,1994
"Chelidonium majus L.",11.6391,42.91984,300,1994
"Chelidonium majus L.",11.64083,42.93104,300,1994
"Moehringia trinervia (L.) Clairv.",11.65027,42.89279,300,1994
"Fumaria officinalis L. subsp. officinalis",11.57584,42.86769,300,1994
"Papaver rhoeas L. subsp. rhoeas",11.57584,42.86769,300,1994
"Picea abies (L.) H.Karst.",11.62678,42.9029,300,1994
"Ranunculus lanuginosus L.",11.62489,42.89376,300,1994
"Thalictrum aquilegiifolium L. subsp. aquilegiifolium",11.6391,42.91984,300,1994
"Thalictrum lucidum L.",11.65038,42.90231,300,1994
"Urtica dioica L. subsp. dioica",11.65027,42.89279,300,1994
"Urtica dioica L. subsp. dioica",11.6391,42.91984,300,1994
"Aquilegia dumeticola Jord.",11.65038,42.90231,300,1994
