"x"
"Alnus glutinosa (L.) Gaertn."
"Populus canescens (Aiton) Sm."
"Fraxinus angustifolia Vahl subsp. oxycarpa (Willd.) Franco & Rocha Afonso"
"Quercus robur L. subsp. robur"
"Quercus ilex L. subsp. ilex"
"Crataegus monogyna Jacq."
"Malus sylvestris (L.) Mill."
"Rubia peregrina L."
"Smilax aspera L."
"Fraxinus ornus L. subsp. ornus"
"Hedera helix L. subsp. helix"
"Rubus ulmifolius Schott"
"Euonymus europaeus L."
"Ulmus minor Mill. subsp. minor"
"Lonicera caprifolium L."
"Cyclamen repandum Sm. subsp. repandum"
"Acer campestre L."
"Cornus mas L."
"Ruscus aculeatus L."
"Populus alba L."
"Ligustrum vulgare L."
"Vitis vinifera L."
"Periploca graeca L."
"Carex distans L."
"Clematis vitalba L."
"Veronica chamaedrys L. subsp. chamaedrys"
"Solanum dulcamara L."
"Hydrocotyle vulgaris L."
"Thelypteris palustris Schott"
"Mentha aquatica L. subsp. aquatica"
"Carex remota L."
"Juncus effusus L. subsp. effusus"
"Galium palustre L. subsp. palustre"
"Potentilla reptans L."
"Agrostis stolonifera L. subsp. stolonifera"
"Urtica dioica L. subsp. dioica"
"Carex sylvatica Huds. subsp. sylvatica"
"Samolus valerandi L."
"Lycopus europaeus L."
"Carex elata All. subsp. elata"
"Hypericum androsaemum L."
"Gratiola officinalis L."
"Alisma plantago-aquatica L."
"Ranunculus ophioglossifolius Vill."
"Prunella vulgaris L. subsp. vulgaris"
"Carex punctata Gaudin"
"Robinia pseudoacacia L."
"Carex pendula Huds."
"Myosotis scorpioides L. subsp. scorpioides"
"Rumex sanguineus L."
"Moehringia trinervia (L.) Clairv."
"Ranunculus repens L."
"Holcus lanatus L. subsp. lanatus"
"Lychnis flos-cuculi L. subsp. flos-cuculi"
"Lysimachia vulgaris L."
"Carex riparia Curtis"
"Hottonia palustris L."
"Juncus conglomeratus L."
"Asparagus acutifolius L."
"Chamaeiris foetidissima (L.) Medik."
"Veronica montana L."
"Pteridium aquilinum (L.) Kuhn subsp. aquilinum"
"Carpinus betulus L."
"Scrophularia nodosa L."
"Circaea lutetiana L. subsp. lutetiana"
"Melissa officinalis L. subsp. officinalis"
"Brachypodium sylvaticum (Huds.) P.Beauv. subsp. sylvaticum"
"Viola reichenbachiana Jord. ex Boreau"
"Poa trivialis L."
"Cruciata glabra (L.) C.Bauhin ex Opiz"
"Oenanthe pimpinelloides L."
"Pinus pinea L."
"Pyrus communis L."
"Ajuga reptans L."
"Carex otrubae Podp."
"Trifolium fragiferum L. subsp. fragiferum"
"Arum italicum Mill. subsp. italicum"
"Myrtus communis L."
"Oenanthe lachenalii C.C.Gmel."
"Lysimachia nummularia L."
"Platanthera chlorantha (Custer) Rchb."
"Rumex hydrolapathum Huds."
"Lathyrus pratensis L. subsp. pratensis"
"Aeluropus littoralis (Gouan) Parl. subsp. littoralis"
"Alopecurus bulbosus Gouan subsp. bulbosus"
"Phillyrea latifolia L."
"Rosa sempervirens L."
"Althaea officinalis L."
"Phillyrea angustifolia L."
"Galatella pannonica (Jacq.) Galasso, Bartolucci & Ardenghi subsp. pannonica"
"Melica uniflora Retz."
"Geranium robertianum L."
"Lotus corniculatus L. subsp. corniculatus"
"Ranunculus lanuginosus L."
"Juncus maritimus Lam."
"Coleostephus myconis (L.) Cass. ex Rchb.f."
"Trifolium tomentosum L."
"Oenanthe silaifolia M.Bieb."
"Vicia sativa L."
"Pinus pinaster Aiton"
"Populus tremula L."
"Prunus spinosa L. subsp. spinosa"
"Halimione portulacoides (L.) Aellen"
"Juncus acutus L. subsp. acutus"
"Limonium narbonense Mill."
"Triglochin barrelieri Loisel."
"Teucrium chamaedrys L. subsp. chamaedrys"
"Asplenium onopteris L."
"Betonica officinalis L."
"Luzula forsteri (Sm.) DC."
"Ranunculus velutinus Ten."
"Clematis flammula L."
"Linum usitatissimum L. subsp. angustifolium (Huds.) Thell."
"Convolvulus sepium L."
"Orobanche minor Sm."
"Jacobaea erratica (Bertol.) Fourr."
"Erigeron canadensis L."
"Oxalis corniculata L."
"Sambucus nigra L."
"Poa annua L."
"Populus nigra L. subsp. nigra"
"Persicaria lapathifolia (L.) Delarbre subsp. lapathifolia"
"Galium debile Desv."
"Ficus carica L."
"Equisetum arvense L."
"Pulicaria dysenterica (L.) Bernh."
"Scutellaria galericulata L."
"Carex divulsa Stokes"
"Veronica serpyllifolia L."
"Myosotis sylvatica Hoffm. subsp. sylvatica"
"Stellaria media (L.) Vill. subsp. media"
"Veronica officinalis L."
"Carex pallescens L."
"Laurus nobilis L."
"Carex flacca Schreb. subsp. flacca"
"Aristolochia rotunda L. subsp. rotunda"
"Hypericum montanum L."
"Rhamnus cathartica L."
"Geranium purpureum Vill."
"Euphorbia peplis L."
"Lythrum salicaria L."
"Carex spicata Huds."
"Lilium bulbiferum L. subsp. croceum (Chaix) Jan"
"Carex leporina L."
"Cyclamen hederifolium Aiton subsp. hederifolium"
"Polygonatum odoratum (Mill.) Druce"
"Eupatorium cannabinum L. subsp. cannabinum"
"Limniris pseudacorus (L.) Fuss"
"Fragaria vesca L. subsp. vesca"
"Pistacia lentiscus L."
"Frangula alnus Mill. subsp. alnus"
"Glechoma hederacea L."
"Dryopteris filix-mas (L.) Schott"
"Juncus inflexus L. subsp. inflexus"
"Potentilla erecta (L.) Raeusch."
"Poa bulbosa L. subsp. bulbosa"
"Dittrichia viscosa (L.) Greuter subsp. viscosa"
"Plantago coronopus L."
"Ranunculus sardous Crantz"
"Oxalis dillenii Jacq."
"Soda inermis Fourr."
"Arthrocaulon macrostachyum (Moric.) Piirainen & G.Kadereit"
"Artemisia caerulescens L. subsp. cretacea (Fiori) Brilli-Catt. & Gubellini"
"Geranium molle L."
"Symphyotrichum squamatum (Spreng.) G.L.Nesom"
"Astragalus sesameus L."
"Spergularia media (L.) C.Presl"
"Limbarda crithmoides (L.) Dumort. subsp. longifolia (Arcang.) Greuter"
"Atriplex prostrata Boucher ex DC."
"Anisantha diandra (Roth) Tutin"
"Salicornia perennans Willd. subsp. perennans"
"Ranunculus flammula L."
"Phytolacca americana L."
"Veronica persica Poir."
"Euphorbia cyparissias L."
"Clinopodium vulgare L. subsp. vulgare"
"Leucojum aestivum L. subsp. aestivum"
"Monotropa hypopitys L."
"Trifolium lappaceum L."
"Oenothera chicaginensis de Vries ex Renner & Cleland"
"Juncus articulatus L. subsp. articulatus"
"Baldellia ranunculoides (L.) Parl."
"Plantago major L."
"Cistus salviifolius L."
"Emerus major Mill. subsp. major"
"Rhynchospora alba (L.) Vahl"
"Spartium junceum L."
"Juniperus communis L."
"Genista germanica L."
"Cistus creticus L. subsp. eriocephalus (Viv.) Greuter & Burdet"
"Equisetum telmateia Ehrh."
"Hypochaeris glabra L."
"Sporobolus pumilus (Roth) P.M.Peterson & Saarela"
"Paspalum vaginatum Sw."
"Erica scoparia L. subsp. scoparia"
"Potamogeton lucens L."
"Erica arborea L."
"Oenothera fallacoides Soldano & Rostanski"
"Daphne gnidium L."
"Glyceria fluitans (L.) R.Br."
"Tamarix gallica L."
"Ceratophyllum demersum L."
"Hydrocharis morsus-ranae L."
"Lemna minor L."
"Lemna gibba L."
"Nymphaea alba L."
"Lemna trisulca L."
"Najas minor All."
"Hydrocotyle ranunculoides L.f."
"Schoenoplectus lacustris (L.) Palla"
"Schoenoplectus tabernaemontani (C.C.Gmel.) Palla"
"Taraxacum trilobifolium Hudziok"
"Ulmus laevis Pall."
"Amorpha fruticosa L."
"Prunus domestica L."
"Ophioglossum lusitanicum L."
"Ajuga chamaepitys (L.) Schreb. subsp. chamaepitys"
"Oenothera italica Rostanski & Soldano"
"Atriplex tatarica L."
"Oenothera stucchii Soldano"
"Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase"
"Carex pseudocyperus L."
"Cirsium palustre (L.) Scop."
"Cladium mariscus (L.) Pohl"
"Euphorbia hirsuta L."
"Juncus acutiflorus Ehrh. ex Hoffm."
"Lysimachia tenella L."
"Lotus pedunculatus Cav."
"Cirsium creticum (Lam.) d'Urv. subsp. triumfettii (Lacaita) K.Werner"
"Osmunda regalis L."
"Linum maritimum L. subsp. maritimum"
"Phragmites australis (Cav.) Trin. ex Steud. subsp. australis"
"Drosera rotundifolia L."
"Lythrum virgatum L."
"Utricularia vulgaris L."
"Typha angustifolia L."
"Thysselinum palustre (L.) Hoffm."
"Schoenus nigricans L."
"Stachys palustris L."
"Lonicera etrusca Santi"
"Cenchrus longispinus (Hack.) Fernald"
"Bolboschoenus maritimus (L.) Palla"
"Centaurea aplolepa Moretti subsp. subciliata (DC.) Arcang."
"Spiranthes aestivalis (Poir.) Rich."
"Epipactis palustris (L.) Crantz"
"Verbena bonariensis L."
"Cyperus eragrostis Lam."
"Capparis spinosa L. subsp. rupestris (Sm.) Nyman"
"Prunus avium L."
"Dryopteris dilatata (Hoffm.) A.Gray"
"Rhamnus alaternus L. subsp. alaternus"
"Ulex europaeus L. subsp. europaeus"
"Cakile maritima Scop. subsp. maritima"
"Sporobolus virginicus (L.) Kunth"
"Convolvulus soldanella L."
"Cyperus capitatus Vand."
"Salsola tragus L."
"Ambrosia psilostachya DC."
"Achillea maritima (L.) Ehrend. & Y.P.Guo subsp. maritima"
"Calamagrostis arenaria (L.) Roth subsp. arundinacea (Husn.) Banfi, Galasso & Bartolucci"
"Crepis suffreniana (DC.) Steud."
"Eryngium maritimum L."
"Oenothera biennis L."
"Echinophora spinosa L."
"Oenothera sinuosa W.L.Wagner & Hoch"
"Oenothera stricta Link subsp. stricta"
"Euphorbia paralias L."
"Polygonum maritimum L."
"Juniperus macrocarpa Sm."
"Tripidium ravennae (L.) H.Scholz subsp. ravennae"
"Silene otites (L.) Wibel"
"Phleum arenarium L. subsp. caesium H.Scholz"
"Rostraria pubescens (Lam.) Trin."
"Festuca pyramidata Link"
"Tribulus terrestris L."
"Lotus hirsutus L."
"Hypochaeris radicata L."
"Plantago arenaria Waldst. & Kit."
"Solidago virgaurea L. subsp. litoralis (Savi) Briq. & Cavill."
"Ruppia maritima L."
"Najas major All."
"Callitriche obtusangula Le Gall"
"Helosciadium nodiflorum (L.) W.D.J.Koch"
"Myriophyllum spicatum L."
"Sagittaria sagittifolia L."
"Azolla filiculoides Lam."
"Spirodela polyrhiza (L.) Schleid."
"Cenchrus incertus M.A.Curtis"
"Salvinia natans (L.) All."
"Vallisneria spiralis L."
"Silene canescens Ten."
"Carex viridula Michx."
"Cyperus fuscus L."
"Juncus subnodulosus Schrank"
"Digitaria debilis (Desf.) Willd."
"Phalaroides arundinacea (L.) Rauschert subsp. arundinacea"
"Sparganium neglectum Beeby"
"Eleocharis multicaulis (Sm.) Desv."
"Bulbostylis cioniana (Pi.Savi) Lye"
"Leersia oryzoides (L.) Sw."
"Quercus petraea (Matt.) Liebl. subsp. petraea"
"Hibiscus moscheutos L. subsp. moscheutos"
"Quercus pubescens Willd. subsp. pubescens"
"Hypericum elodes L."
"Fraxinus excelsior L. subsp. excelsior"
