"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Acer campestre L.",100,10,91.5,91.3
"Aeluropus littoralis (Gouan) Parl. subsp. littoralis",100,9,83.2,22.4
"Agrostis gigantea Roth subsp. gigantea",100,5,85.7,83.8
"Agrostis stolonifera L. subsp. stolonifera",100,10,91.3,91.3
"Aira caryophyllea L. subsp. caryophyllea",100,10,85.7,23.2
"Ajuga reptans L.",100,10,91.3,91.3
"Alisma plantago-aquatica L.",100,10,85.7,26.2
"Alnus glutinosa (L.) Gaertn.",100,10,91.3,91.3
"Althaea officinalis L.",100,10,85.7,10.6
"Amorpha fruticosa L.",100,9,86.7,10.4
"Anacamptis laxiflora (Lam.) R.M.Bateman, Pridgeon & M.W.Chase",100,6,85.7,2.2
"Anacamptis palustris (Jacq.) R.M.Bateman, Pridgeon & M.W.Chase",100,10,88.1,65.8
"Anthoxanthum odoratum L.",100,9,85.7,2.2
"Arenaria serpyllifolia L. subsp. serpyllifolia",100,6,85.7,25.8
"Aristolochia clematitis L.",100,10,85.3,72
"Aristolochia rotunda L. subsp. rotunda",100,10,91.3,84.5
"Arthrocaulon macrostachyum (Moric.) Piirainen & G.Kadereit",100,7,83.2,8.9
"Arum italicum Mill. subsp. italicum",100,10,91.3,91.3
"Asparagus acutifolius L.",100,10,91.3,85.7
"Asplenium onopteris L.",100,6,91.3,2.7
"Azolla filiculoides Lam.",100,10,88.3,61.6
"Baldellia ranunculoides (L.) Parl.",100,10,86.9,23.2
"Bellardia viscosa (L.) Fisch. & C.A.Mey.",100,5,85.7,66
"Betonica officinalis L.",100,10,91.3,84.7
"Bolboschoenus glaucus (Lam.) S.G.Sm.",100,4,85.7,85.7
"Bolboschoenus maritimus (L.) Palla",100,10,85.4,25.6
"Brachypodium sylvaticum (Huds.) P.Beauv. subsp. sylvaticum",100,10,91.5,91.3
"Calluna vulgaris (L.) Hull",100,6,84.8,25.3
"Carduus pycnocephalus L. subsp. pycnocephalus",100,9,85.7,2.2
"Carex distans L.",100,10,85.7,73.6
"Carex divisa Huds.",100,7,85.7,75
"Carex divulsa Stokes",100,9,91.3,75
"Carex elata All. subsp. elata",100,10,91.3,84.7
"Carex leporina L.",100,4,91.3,85.7
"Carex otrubae Podp.",100,10,91.3,84.2
"Carex pallescens L.",100,5,91.3,84.7
"Carex pendula Huds.",100,10,91.5,91.3
"Carex punctata Gaudin",100,8,91.3,26.2
"Carex remota L.",100,10,91.5,91.3
"Carex riparia Curtis",100,8,91.3,75
"Carex spicata Huds.",100,6,91.3,78.4
"Carex sylvatica Huds. subsp. sylvatica",100,10,91.5,91.3
"Carpinus betulus L.",100,10,91.5,91.3
